	1298.48	real	1297.81	user	2.72	sys
	522.41	real	522.26	user	1.33	sys
	3649.13	real	3648.22	user	6.58	sys
	91.85	real	91.79	user	0.38	sys
	10.38	real	10.35	user	0.08	sys
	386.73	real	386.59	user	1.08	sys
	6.45	real	6.43	user	0.04	sys
	20.78	real	20.74	user	0.11	sys
	10.89	real	10.86	user	0.07	sys
	1630.59	real	1629.99	user	3.28	sys
	110.61	real	110.55	user	0.45	sys
	1526.62	real	1526.09	user	3.34	sys
	62.01	real	61.92	user	0.33	sys
	68.59	real	68.2	user	0.35	sys
	3506.55	real	3504.65	user	7.2	sys
	11.42	real	11.38	user	0.08	sys
	66.77	real	66.65	user	0.32	sys
	34.97	real	34.45	user	0.18	sys
	7.15	real	7.13	user	0.06	sys
	31.79	real	31.75	user	0.16	sys
	14.56	real	14.52	user	0.1	sys
	20.22	real	20.19	user	0.12	sys
	15.2	real	15.12	user	0.1	sys
	4898.86	real	4895.72	user	11.98	sys
	22.92	real	22.87	user	0.13	sys
	40.49	real	40.4	user	0.27	sys
	97.05	real	96.82	user	0.52	sys
	22.74	real	22.41	user	0.14	sys
	9.94	real	9.92	user	0.06	sys
	66.56	real	66.45	user	0.31	sys
	39.33	real	39.29	user	0.2	sys
	39.61	real	39.57	user	0.2	sys
	10.91	real	10.88	user	0.08	sys
	2161.67	real	2160.4	user	4.43	sys
	854.66	real	853.96	user	2.14	sys
	81.13	real	81.07	user	0.37	sys
	19.91	real	19.88	user	0.12	sys
	22.17	real	22.13	user	0.13	sys
	55.74	real	55.68	user	0.3	sys
	12.56	real	12.53	user	0.09	sys
	539.01		538.6905			
